codeAiot;numeroRubrique;nature;alinea;regimeAutoriseAlinea;quantiteTotale;unite;dateMotif
"0005213151";"2714";"déchets non dangereux de papiers, plastiques, bois,? (transit) hors 2710,2711 et 2719";"1";Enregistrement;"20000.000";"m3";"16/05/2022"
"0005213151";"2794";"Broyage de déchets verts";"2";Déclaration;"29.000";"t/j";"16/05/2022"
"0053320971";"2251";"Vins (préparation, conditionnement)";"1";Enregistrement;"38000.0";"hL/an";
"0003105140";"2925";"Charge d'accumulateurs dégageant de l'hydrogène";"1";Déclaration;"850.000";kW;"09/04/2020"
"0003105140";"4130";"Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation";"2.b";Déclaration;"1.410";t;"14/01/2026"
"0003105140";"2563";"Supérieure à 500 l, mais inférieure ou égale à 7500 l";"2";"Déclaration avec contrôle";"7000.000";L;"09/04/2020"
"0003105140";"2565";"Traitement de surface";"2.a";Enregistrement;"6500.000";l;"14/01/2026"
"0003105140";"2561";"Trempé recuit, revenu des métaux et alliages";;"Déclaration avec contrôle";;;"09/04/2020"
"0003105140";"1185";"Quantité susceptible d'être présente";"2.a";"Déclaration avec contrôle";"400.000";kg;"09/04/2020"
"0003105140";"1450";"Solides inflammables";"1";Autorisation;"7.700";t;"14/01/2026"
"0003105140";"2565";"Traitement de surface par vibro-abrasion";"4";"Déclaration avec contrôle";"200.000";L;"09/04/2020"
"0005213415";"2710";"collecte de déchets non dangereux-E";"2.a";Enregistrement;"599.0";"m3";
"0005213415";"2710";"collecte de déchets dangereux-DC";"1.b";"Déclaration avec contrôle";"6.9";t;
"0005200770";"2515";"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes";"1.a";Enregistrement;"300.000";kW;"26/04/1993"
"0003102714";"4755";"Alcools de bouche d'origine agricole et leurs constituants (inflammables)";"2.a";Autorisation;;;"28/08/2025"
"0005205965";"3642";"Production d'aliments à partir de matières premières végétales - capacité > 300 t/j";"2.a";Autorisation;"308.000";"t/j";"23/06/2014"
"0005205965";"2910";Combustion;"A.2";"Déclaration avec contrôle";"10.615";MW;"22/01/2002"
"0005205965";"1414";"Gaz inflammables liquéfiés (remplissage ou distribution)";"3";"Déclaration avec contrôle";;;"22/01/2002"
"0005205965";"2220";"Supérieure à 10 t/j";"2.a";Enregistrement;"58000.000";"t/j";"22/01/2002"
"0005205965";"2661";"MATIERES PLASTIQUES, CAOUTCHOUC...(EMPLOI OU REEMPLOI)";"1.c";Déclaration;"4.500";"t/j";"22/01/2002"
"0005205965";"1510";"Entrepot autorisé";"2.a";Autorisation;"400000.000";"m3";"23/06/2014"
"0005205965";"2925";"Charge d'accumulateurs dégageant de l'hydrogène";"1";Déclaration;"4.500";kW;"22/01/2002"
"0005213860";"1414";"Installation desservant un dépôt de gaz inflammables liquéfiés soumis à autorisation";"2.a";Autorisation;;;"21/03/2016"
"0005201095";"2716";"déchets non dangereux non inertes (transit)";"2";"Déclaration avec contrôle";"405.0";"m3";
"0005201095";"1435";"Stations-service";"2";"Déclaration avec contrôle";"546.0";"m3";
"0005201095";"2710";"collecte de déchets non dangereux-E";"2.a";Enregistrement;"460.0";"m3";
